,Symbol,Date,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Diluted Average Shares,Investing Cash Flow,Normalized Income,Tax Effect of Unusual Items,Pretax Income
118,GSUM,12/31/2019,-0.0169,596972.0,954682.0,-357710.0,-367101.0,-387373.0,67190.0,26595.0,245402.0,-289546.0,326552.0,30828.0,-23315.0,-563728.0,1301.0,-563899.0
119,GTEC,12/31/2019,0.0,106484.0,59522.0,46962.0,38596.0,34724.0,71858.0,5717.0,-9644.0,7999.0,52401.0,7500.0,-1600.0,4681.0,-36.065,5935.0
120,GTYH,12/31/2019,0.0,434393.0,108770.0,325623.0,325623.0,-76800.0,325623.0,52.048,-347328.0,-1109.0,0.0,63130.0,347928.0,1797.0,0.0,1797.0
121,HCAT,12/31/2019,-0.0129,302360.0,101716.0,200644.0,200644.0,171415.0,248844.0,18032.0,231381.0,-32184.0,154941.0,18741.0,-209602.0,-58877.0,-450.9,-59954.0
122,HHR,12/31/2019,0.0284,13039122.0,9650929.0,3388193.0,3354930.0,-6332670.0,8483985.0,2089215.0,-2653440.0,2611054.0,7788741.0,50951.0,-637117.0,1481039.0,-13487.0,2225448.0
123,HIMX,12/31/2019,0.0,818481.0,387237.0,431244.0,432987.0,396099.0,654326.0,101055.0,35261.0,7656.0,671835.0,172550.0,-47767.0,-16014.0,800.0,-15768.0
124,HLIT,12/31/2019,0.0,587327.0,332471.0,254856.0,254856.0,10615.0,404013.0,93058.0,6305.0,31295.0,402874.0,89575.0,-10328.0,2028.0,-883.6,-6596.0
125,HSII,12/31/2019,0.0024,844173.0,535058.0,309115.0,309115.0,180349.0,309115.0,271719.0,-18240.0,78645.0,725614.0,19551.0,-69315.0,49663.0,-1336.0,69289.0
126,HSTM,12/31/2019,0.0,489544.0,151376.0,338168.0,338168.0,154446.0,338168.0,131538.0,-916.0,65657.0,254112.0,32428.0,-67524.0,14196.0,0.0,17929.0
127,IBEX,6/30/2020,0.0,195236.0,179088.0,16148.0,16148.0,1535.0,47406.0,21870.0,-33867.0,51719.0,405135.0,17691.0,-4835.0,7770.0,0.0,10085.0
128,ICHR,12/31/2019,0.0,566555.0,345139.0,221416.0,221416.0,-3621.0,399470.0,60612.0,-19882.0,57150.0,620837.0,22767.0,-20490.0,10729.0,0.0,4275.0
129,ICLK,12/31/2019,0.0,321516.0,206960.0,114556.0,102101.0,31973.0,187960.0,60706.0,44804.0,-30294.0,199408.0,113902.0,6762.0,-9376.0,-75.75,-10394.0
