,Diluted Equity,ROA,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Investing Cash Flow,Tax Effect of Unusual Items,Pretax Income
407,0.0,0.08339993000058332,318803.0,366917.0,366917.0,-64000.0,561584.0,68614.0,-4379.0,67550.0,439107.0,-75473.0,-9067.0,39728.0
408,-789.2313,-0.45551294876069803,442431.0,1284993.0,1284993.0,1257539.0,1284993.0,381709.0,21187.0,-564384.0,44674.0,507807.0,-2.747,-790153.0
409,-172.3638,-0.19798432435812577,1739051.0,-891494.0,-891494.0,-891837.0,-833729.0,98244.0,571735.0,-228041.0,381677.0,-346660.0,0.0,-169156.0
410,0.0,-0.22741137370290365,304155.0,493492.0,493492.0,404058.0,493492.0,519149.0,383290.0,-198537.0,108589.0,-77115.0,3.4964,-179440.0
411,-349.1517,-0.49130556426930283,243335.0,464359.0,464359.0,464359.0,464359.0,119604.0,340638.0,-278015.0,66512.0,-16466.0,0.0,-347694.0
412,-32.578,-0.9233073202901737,9497.0,26895.0,26895.0,26895.0,26895.0,32426.0,18011.0,-27280.0,0.0,-870.0,0.0,-32968.0
413,-10.253,-0.26786451879388684,14516.0,24220.0,24220.0,24220.0,24220.0,21674.0,22474.0,-7244.0,23101.0,-2446.0,14.26,-9906.0
414,-98.53940000000001,-0.11976560070121865,3147.0,138321.0,138321.0,138321.0,138321.0,136204.0,119925.0,-16045.0,0.0,-693.0,0.0,-16943.0
415,-16.7954,-0.7883677298311444,6483.0,14837.0,14837.0,14837.0,14837.0,18106.0,21871.0,-20337.0,0.0,-108.0,0.0,-16808.0
416,-89.8928,-0.5324469093667046,26342.0,142426.0,142426.0,142426.0,142426.0,60877.0,98908.0,-78745.0,0.0,-10784.0,0.0,-89860.0
417,0.0,-0.035278040700425936,57129.0,788071.0,788071.0,772005.0,788071.0,753540.0,198835.0,-71011.0,184829.0,-18072.0,0.0,-32501.0
418,-106.6725,-0.4566168295708687,46246.0,186713.0,186713.0,186713.0,186713.0,18713.0,142604.0,-109225.0,19886.0,-30516.0,0.0,-107189.0
419,-26.877599999999997,-0.6293202489229296,6060.0,35720.0,35720.0,35720.0,35720.0,10376.0,25620.0,-26569.0,0.0,-4082.0,0.0,-26293.0
420,0.0,-0.14670875731533717,52736.0,99000.0,99000.0,29602.0,99000.0,38479.0,-132.0,-2769.0,127068.0,-22579.0,26.477,-23947.0
421,0.0,-0.36285193037818647,983.229,19298.0,19298.0,19298.0,19298.0,18735.0,259.305,-5999.0,0.0,8530.0,0.0,-7359.0
422,0.0,0.2836459742293728,24746.0,87630.0,87630.0,87630.0,87630.0,89512.0,1116.0,34611.0,102306.0,37225.0,0.0,33409.0
423,0.0,-0.08021936916637949,70727.0,268792.0,268792.0,252186.0,268792.0,185463.0,132660.0,-12765.0,236545.0,-8669.0,0.0,-27005.0
424,0.0,0.0011204499523992451,34633.0,85113.0,85113.0,85113.0,110235.0,98845.0,88288.0,7015.0,51865.0,-937.0,70.1694,5349.0
425,0.0,-0.2653922126619572,143083.0,66000.0,66000.0,66000.0,85786.0,40259.0,94820.0,-70123.0,35952.0,-12526.0,0.0,-55489.0
426,0.0,-0.47700019385748704,15113.0,20996.0,20993.0,4157.0,20993.0,3729.0,12559.0,-19134.0,6750.0,-443.002,352.6889,-15990.0
427,0.0,-0.4300057389675899,108483.0,57052.0,57052.0,55604.0,101483.0,37421.0,43487.0,-65838.0,93774.0,28185.0,-23.22,-70981.0
428,-13.5762,-1.466645455509598,3195.0,6234.0,6234.0,6234.0,6234.0,8035.0,6511.0,-12843.0,0.0,5445.0,0.0,-13836.0
429,-37.6244,-0.3669580879525631,13057.0,85769.0,85769.0,85769.0,86607.0,27855.0,85464.0,-35012.0,0.0,-35657.0,-20.25,-36036.0
430,-101.90639999999999,-0.22654122519354225,111999.0,355470.0,315123.0,314015.0,315123.0,340522.0,-3862.0,-69142.0,15190.0,-35872.0,0.0,-115212.0
431,-27.9514,-5.51931330472103,5634.0,-508.0,-97436.0,-97436.0,-97436.0,4205.0,18977.0,-26851.0,0.0,0.0,0.0,-28292.0
432,-111.004,-0.9430371263905643,9424.0,109952.0,109952.0,109952.0,109952.0,16901.0,345.0,-75181.0,12519.0,10631.0,0.0,-112576.0
433,-21.331699999999998,-0.18153348651178622,58588.0,58922.0,59860.0,45715.0,65126.0,41095.0,25473.0,-7775.0,48780.0,14175.0,176.58,-20697.0
434,-28.8029,-0.3291887439333897,44217.0,45619.0,45619.0,9420.0,45848.0,39338.0,18276.0,-28202.0,6.0,8987.0,0.0,-28640.0
435,0.0,-1.3343151693667157,1053.0,984.286,-4056.0,-4056.0,-4056.0,1126.0,0.0,-2663.0,1113.0,156.783,0.0,-2695.0
436,-40.730199999999996,-0.6017020412897239,31141.0,37835.0,37835.0,37835.0,47800.0,60268.0,14273.0,-28532.0,20915.0,-35.0,0.0,-41092.0
437,87.82319999999999,0.21967979614943497,303713.0,105214.0,105214.0,101651.0,283600.0,177908.0,89370.0,28355.0,356071.0,-12732.0,0.0,92775.0
438,0.0,-1.1491634299372573,15619.0,11157.0,11157.0,11157.0,16309.0,22955.0,8695.0,-27068.0,2173.0,32925.0,0.0,-30770.0
439,-398.66020000000003,-0.5780969050364095,843861.0,-174257.0,-174257.0,-300251.0,505485.0,161833.0,119888.0,-323615.0,143006.0,143398.0,-4929.0,-398626.0
440,-18.9849,-0.6055142177899905,62779.0,-30390.0,-30390.0,-30390.0,-9301.0,24984.0,18379.0,-17813.0,0.0,-165.0,0.0,-19597.0
441,0.0,-0.49001516683518703,310.999,7601.0,7601.0,7601.0,7601.0,7241.0,10260.0,-3553.0,0.0,-20.12,0.0,-3877.0
442,0.0,-2.797291196388262,478.07,1737.0,1737.0,1737.0,1737.0,893.138,5903.0,-5525.0,214.974,-435.246,0.0,-6196.0
443,0.0,-0.07418168996611188,218870.0,87432.0,87432.0,57929.0,98932.0,170019.0,2041.0,27783.0,296701.0,-6438.0,0.0,-22722.0
444,0.0,-0.2173532393327804,12301.0,9401.0,9401.0,9351.0,16125.0,7287.0,3024.0,934.247,5162.0,-5497.0,-55.082,-10390.0
